Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Source Code,Source,Unit,Value,Flag,Flag Description,Note
"GT","Emissions totals","566","Nigeria","7273","Emissions (CO2)","6750","Net Forest conversion","2003","2003","3050","FAO TIER 1","kt","44150.5209","E","Estimated value",""
"GT","Emissions totals","566","Nigeria","7273","Emissions (CO2)","6750","Net Forest conversion","2004","2004","3050","FAO TIER 1","kt","44150.5209","E","Estimated value",""
"GT","Emissions totals","566","Nigeria","7273","Emissions (CO2)","6750","Net Forest conversion","2005","2005","3050","FAO TIER 1","kt","44150.5209","E","Estimated value",""
"GT","Emissions totals","566","Nigeria","7273","Emissions (CO2)","6750","Net Forest conversion","2006","2006","3050","FAO TIER 1","kt","44150.5209","E","Estimated value",""
"GT","Emissions totals","566","Nigeria","7273","Emissions (CO2)","6750","Net Forest conversion","2007","2007","3050","FAO TIER 1","kt","44150.5209","E","Estimated value",""
"GT","Emissions totals","566","Nigeria","7273","Emissions (CO2)","6750","Net Forest conversion","2008","2008","3050","FAO TIER 1","kt","44150.5209","E","Estimated value",""
"GT","Emissions totals","566","Nigeria","7273","Emissions (CO2)","6750","Net Forest conversion","2009","2009","3050","FAO TIER 1","kt","44150.5209","E","Estimated value",""
"GT","Emissions totals","566","Nigeria","7273","Emissions (CO2)","6750","Net Forest conversion","2010","2010","3050","FAO TIER 1","kt","44150.5209","E","Estimated value",""
"GT","Emissions totals","566","Nigeria","7273","Emissions (CO2)","6750","Net Forest conversion","2011","2011","3050","FAO TIER 1","kt","44149.9244","E","Estimated value",""
"GT","Emissions totals","566","Nigeria","7273","Emissions (CO2)","6750","Net Forest conversion","2012","2012","3050","FAO TIER 1","kt","44149.9244","E","Estimated value",""
"GT","Emissions totals","566","Nigeria","7273","Emissions (CO2)","6750","Net Forest conversion","2013","2013","3050","FAO TIER 1","kt","44149.9244","E","Estimated value",""
"GT","Emissions totals","566","Nigeria","7273","Emissions (CO2)","6750","Net Forest conversion","2014","2014","3050","FAO TIER 1","kt","44149.9244","E","Estimated value",""
"GT","Emissions totals","566","Nigeria","7273","Emissions (CO2)","6750","Net Forest conversion","2015","2015","3050","FAO TIER 1","kt","44149.9244","E","Estimated value",""
"GT","Emissions totals","566","Nigeria","7273","Emissions (CO2)","6750","Net Forest conversion","2016","2016","3050","FAO TIER 1","kt","44151.6078","E","Estimated value",""
"GT","Emissions totals","566","Nigeria","7273","Emissions (CO2)","6750","Net Forest conversion","2017","2017","3050","FAO TIER 1","kt","44151.6078","E","Estimated value",""
"GT","Emissions totals","566","Nigeria","7273","Emissions (CO2)","6750","Net Forest conversion","2018","2018","3050","FAO TIER 1","kt","44151.6078","E","Estimated value",""
"GT","Emissions totals","566","Nigeria","7273","Emissions (CO2)","6750","Net Forest conversion","2019","2019","3050","FAO TIER 1","kt","44151.6078","E","Estimated value",""
"GT","Emissions totals","566","Nigeria","7273","Emissions (CO2)","6750","Net Forest conversion","2020","2020","3050","FAO TIER 1","kt","44151.6078","E","Estimated value",""
"GT","Emissions totals","566","Nigeria","7273","Emissions (CO2)","6750","Net Forest conversion","2021","2021","3050","FAO TIER 1","kt","44151.8998","E","Estimated value",""
"GT","Emissions totals","566","Nigeria","7273","Emissions (CO2)","6750","Net Forest conversion","2022","2022","3050","FAO TIER 1","kt","44151.8998","E","Estimated value",""
"GT","Emissions totals","566","Nigeria","7273","Emissions (CO2)","6750","Net Forest conversion","2023","2023","3050","FAO TIER 1","kt","44151.8998","E","Estimated value",""
"GT","Emissions totals","566","Nigeria","7273","Emissions (CO2)","6993","Fires in organic soils","2000","2000","3050","FAO TIER 1","kt","0","E","Estimated value",""
"GT","Emissions totals","566","Nigeria","7273","Emissions (CO2)","6993","Fires in organic soils","2001","2001","3050","FAO TIER 1","kt","0","E","Estimated value",""
"GT","Emissions totals","566","Nigeria","7273","Emissions (CO2)","6993","Fires in organic soils","2002","2002","3050","FAO TIER 1","kt","0","E","Estimated value",""
"GT","Emissions totals","566","Nigeria","7273","Emissions (CO2)","6993","Fires in organic soils","2003","2003","3050","FAO TIER 1","kt","0","E","Estimated value",""
"GT","Emissions totals","566","Nigeria","7273","Emissions (CO2)","6993","Fires in organic soils","2004","2004","3050","FAO TIER 1","kt","0","E","Estimated value",""
"GT","Emissions totals","566","Nigeria","7273","Emissions (CO2)","6993","Fires in organic soils","2005","2005","3050","FAO TIER 1","kt","0","E","Estimated value",""
"GT","Emissions totals","566","Nigeria","7273","Emissions (CO2)","6993","Fires in organic soils","2006","2006","3050","FAO TIER 1","kt","0","E","Estimated value",""
"GT","Emissions totals","566","Nigeria","7273","Emissions (CO2)","6993","Fires in organic soils","2007","2007","3050","FAO TIER 1","kt","0","E","Estimated value",""
"GT","Emissions totals","566","Nigeria","7273","Emissions (CO2)","6993","Fires in organic soils","2008","2008","3050","FAO TIER 1","kt","0","E","Estimated value",""
"GT","Emissions totals","566","Nigeria","7273","Emissions (CO2)","6993","Fires in organic soils","2009","2009","3050","FAO TIER 1","kt","0","E","Estimated value",""
"GT","Emissions totals","566","Nigeria","7273","Emissions (CO2)","6993","Fires in organic soils","2010","2010","3050","FAO TIER 1","kt","0","E","Estimated value",""
"GT","Emissions totals","566","Nigeria","7273","Emissions (CO2)","6993","Fires in organic soils","2011","2011","3050","FAO TIER 1","kt","0","E","Estimated value",""
"GT","Emissions totals","566","Nigeria","7273","Emissions (CO2)","6993","Fires in organic soils","2012","2012","3050","FAO TIER 1","kt","0","E","Estimated value",""
"GT","Emissions totals","566","Nigeria","7273","Emissions (CO2)","6993","Fires in organic soils","2013","2013","3050","FAO TIER 1","kt","0","E","Estimated value",""
"GT","Emissions totals","566","Nigeria","7273","Emissions (CO2)","6993","Fires in organic soils","2014","2014","3050","FAO TIER 1","kt","0","E","Estimated value",""
"GT","Emissions totals","566","Nigeria","7273","Emissions (CO2)","6993","Fires in organic soils","2015","2015","3050","FAO TIER 1","kt","0","E","Estimated value",""
"GT","Emissions totals","566","Nigeria","7273","Emissions (CO2)","6993","Fires in organic soils","2016","2016","3050","FAO TIER 1","kt","0","E","Estimated value",""
"GT","Emissions totals","566","Nigeria","7273","Emissions (CO2)","6993","Fires in organic soils","2017","2017","3050","FAO TIER 1","kt","0","E","Estimated value",""
"GT","Emissions totals","566","Nigeria","7273","Emissions (CO2)","6993","Fires in organic soils","2018","2018","3050","FAO TIER 1","kt","0","E","Estimated value",""
"GT","Emissions totals","566","Nigeria","7273","Emissions (CO2)","6993","Fires in organic soils","2019","2019","3050","FAO TIER 1","kt","0","E","Estimated value",""
"GT","Emissions totals","566","Nigeria","7273","Emissions (CO2)","6993","Fires in organic soils","2020","2020","3050","FAO TIER 1","kt","0","E","Estimated value",""
"GT","Emissions totals","566","Nigeria","7273","Emissions (CO2)","6993","Fires in organic soils","2021","2021","3050","FAO TIER 1","kt","0","E","Estimated value",""
"GT","Emissions totals","566","Nigeria","7273","Emissions (CO2)","6993","Fires in organic soils","2022","2022","3050","FAO TIER 1","kt","0","E","Estimated value",""
"GT","Emissions totals","566","Nigeria","7273","Emissions (CO2)","6993","Fires in organic soils","2023","2023","3050","FAO TIER 1","kt","0","E","Estimated value",""
"GT","Emissions totals","566","Nigeria","7273","Emissions (CO2)","6504","Fertilizers Manufacturing","2000","2000","3050","FAO TIER 1","kt","48.6462","E","Estimated value",""
"GT","Emissions totals","566","Nigeria","7273","Emissions (CO2)","6504","Fertilizers Manufacturing","2001","2001","3050","FAO TIER 1","kt","48.9071","E","Estimated value",""
"GT","Emissions totals","566","Nigeria","7273","Emissions (CO2)","6504","Fertilizers Manufacturing","2002","2002","3050","FAO TIER 1","kt","49.3835","E","Estimated value",""
