zone,year,month,soil_moisture_m3m3
North West,2009,9,0.26764366028708136
North West,2009,10,0.20311679439252336
North West,2009,11,0.14481820197044334
North West,2009,12,0.10330294444444445
North West,2010,1,0.08623553365384615
North West,2010,2,0.07943892349726776
North West,2010,3,0.07268878756476684
North West,2010,4,0.09658544776119404
North West,2010,5,0.1593787663551402
North West,2010,6,0.21654257487922704
North West,2010,7,0.26313767441860464
North West,2010,8,0.2888369158878505
North West,2010,9,0.2803049761904762
North West,2010,10,0.24044383720930232
North West,2010,11,0.15904819523809524
North West,2010,12,0.11137624537037037
North West,2011,1,0.09364025352112676
North West,2011,2,0.08422874345549737
North West,2011,3,0.07872385572139304
North West,2011,4,0.08975121739130434
North West,2011,5,0.13991292056074767
North West,2011,6,0.20879034285714287
North West,2011,7,0.24196743255813954
North West,2011,8,0.27705582790697675
North West,2011,9,0.26482940476190475
North West,2011,10,0.1909741059907834
North West,2011,11,0.11999345192307692
North West,2011,12,0.09580944444444445
North West,2012,1,0.08441311627906976
North West,2012,2,0.07944665482233502
North West,2012,3,0.07687727860696517
North West,2012,4,0.08913213942307692
North West,2012,5,0.15269345622119818
North West,2012,6,0.22502375714285716
North West,2012,7,0.26906046543778805
North West,2012,8,0.2940794651162791
North West,2012,9,0.27455794258373206
North West,2012,10,0.19935526728110597
North West,2012,11,0.12380148095238096
North West,2012,12,0.09393818433179722
North West,2013,1,0.08669594930875575
North West,2013,2,0.08227485204081633
North West,2013,3,0.07835896698113207
North West,2013,4,0.10942233333333333
North West,2013,5,0.15271616589861753
North West,2013,6,0.20367240669856457
North West,2013,7,0.2503816574074074
North West,2013,8,0.2934757142857143
North West,2013,9,0.2696904
North West,2013,10,0.19250389400921658
North West,2013,11,0.1196340619047619
North West,2013,12,0.09370264976958526
North West,2014,1,0.08592205990783411
North West,2014,2,0.08343347448979592
North West,2014,3,0.08143054166666666
North West,2014,4,0.11260921904761906
North West,2014,5,0.1785358738317757
North West,2014,6,0.20059027272727273
North West,2014,7,0.23604807943925232
North West,2014,8,0.28462276995305164
North West,2014,9,0.2707669761904762
North West,2014,10,0.20218223041474656
North West,2014,11,0.12398490000000001
North West,2014,12,0.09648133644859813
North West,2015,1,0.08671016203703703
North West,2015,2,0.08042227692307692
North West,2015,3,0.0876176465116279
North West,2015,4,0.0885621380952381
North West,2015,5,0.12646402304147464
North West,2015,6,0.18334558851674643
