PRECTOTCORR_MayAug,Yield_kg_per_ha
1170.6075,1649.733177451575
1170.6075,2077.193175434857
1170.6075,13142.12163282255
669.7625,6494.5358027787215
669.7625,1291.4150393728212
669.7625,1655.0604426865402
669.7625,10066.946211683056
971.4225,5985.600794438928
971.4225,1161.4333446511089
971.4225,1462.8906295827026
971.4225,8734.326018808777
1213.1225,13945.789968061272
1213.1225,1929.594780806592
1213.1225,1915.2251480918949
1213.1225,13347.275738764278
1866.415,11439.861811010112
1866.415,1500.5982514256236
1866.415,1876.8797180244587
1866.415,8800.570202682578
1169.1725,13558.280087407546
1169.1725,1733.2732563667469
1169.1725,1522.3987719893016
1169.1725,11606.774232586851
866.2575,11976.374234412271
866.2575,1657.825400955663
866.2575,2031.966039265783
866.2575,12573.563815715455
631.765,7459.533583979442
631.765,1282.4277243709223
631.765,1678.2468320094556
631.765,10095.243438360938
953.72,4156.816569726202
953.72,1159.377524118237
953.72,1453.5736650291906
953.72,8734.326018808777
790.9925000000001,14009.4026842502
790.9925000000001,1893.4920860111165
790.9925000000001,1970.2826475703475
790.9925000000001,13414.6234296371
1237.01,11596.068617880816
1237.01,1487.8699922050057
1237.01,1820.8655771265967
1237.01,8811.433512351305
840.0649999999999,13600.068713762368
840.0649999999999,1678.896071444003
840.0649999999999,1490.1803159626425
840.0649999999999,10674.143375636391
931.3975,12239.790669085163
931.3975,1590.140419400031
931.3975,2019.7803326261396
931.3975,12970.266253782556
556.1875,6484.999094197038
556.1875,1270.9064369003336
556.1875,1658.42511515567
556.1875,10289.046880966822
684.83,4176.73398131636
684.83,1265.4145099444172
684.83,1448.8238768389758
684.83,9065.51646325094
939.5550000000001,13757.303618924358
939.5550000000001,1881.424066192284
939.5550000000001,2035.6958130417445
939.5550000000001,12763.631854105492
1604.4099999999999,11479.235068205926
1604.4099999999999,1553.0012076007515
1604.4099999999999,1913.758439201452
1604.4099999999999,8921.173795843342
1216.92,14092.61104975395
1216.92,1738.7702110745452
1216.92,1540.2393805628694
1216.92,10480.055289993184
668.2049999999999,11949.253483533454
668.2049999999999,1626.276686540603
668.2049999999999,2207.6079709735886
668.2049999999999,13124.939144712784
705.9625,5949.90801129319
705.9625,1338.8928784435975
705.9625,1776.5492727745798
705.9625,11298.6549069242
863.71,6298.9590789802505
863.71,1325.24550683526
863.71,1442.3011566124117
863.71,9032.069459962377
607.9075,14727.797281745175
607.9075,1935.6551322714056
607.9075,2240.994555129322
607.9075,13398.64321468624
1085.4975,12056.262867391655
1085.4975,1634.5938430129158
1085.4975,2047.989023457716
1085.4975,8682.181755291092
823.67,14232.78000842105
823.67,1732.0395629026227
823.67,1839.57326966984
823.67,12441.98830715641
1181.135,12178.583787349937
1181.135,1670.3991985780722
1181.135,2157.105213261128
1181.135,14093.30120501473
629.03,6106.047856275943
629.03,1356.620167042954
629.03,1665.4642661530172
629.03,11091.576201913722
764.005,6374.062567954542
764.005,1387.967155766841
764.005,1493.8914261756413
764.005,8476.651400794035
1309.4099999999999,15224.162117792328
1309.4099999999999,1929.7442343037071
1309.4099999999999,2083.062222551844
1309.4099999999999,13484.037638910531
2163.585,11969.652908907845
2163.585,1611.202513844099
2163.585,1990.5707803109287
2163.585,8966.295903083641
1301.955,14774.389695415586
1301.955,1684.1448661044244
1301.955,1581.8295092211686
1301.955,12393.027477536058
1697.9475000000002,11808.287882878438
1697.9475000000002,1658.5972860742695
1697.9475000000002,2125.743540614741
1697.9475000000002,12222.642188146525
947.7975000000001,6234.21863810314
947.7975000000001,1501.9547454550104
947.7975000000001,1616.497027937385
947.7975000000001,10922.83419391853
1275.445,6285.602957075455
1275.445,1434.718911747604
1275.445,1695.147287719002
1275.445,8847.023942583384
1574.7649999999999,15167.622421835247
1574.7649999999999,1881.586127765144
1574.7649999999999,2315.850532182664
1574.7649999999999,13357.220985171656
2876.2625,11817.096059301552
2876.2625,1598.4118187637282
2876.2625,1949.7535077830996
2876.2625,8890.872283439954
1502.02,15265.396852536907
1502.02,1695.814488372533
1502.02,1930.784386377661
1502.02,11699.162110948906
1401.5875,12472.817547335684
1401.5875,1729.5527191310644
1401.5875,2286.424046909821
1401.5875,14376.79588239782
905.925,5615.891525555384
905.925,1238.1831642752718
905.925,857.9981771702905
905.925,13235.506172839505
1000.7550000000001,9515.19828756506
1000.7550000000001,1644.2624812828162
1000.7550000000001,1759.7964795355476
1000.7550000000001,7744.481204729098
792.9325,14951.738374320865
792.9325,1874.6574797972244
792.9325,2214.336890810051
792.9325,12970.66047389152
1213.875,10537.670591844124
1213.875,1160.9879101421486
1213.875,1522.2806268149675
1213.875,9121.580326632427
1454.36,15898.216650046545
1454.36,1735.75279442798
1454.36,1892.923789073394
1454.36,12321.980260420323
1230.0575,13201.609582001724
1230.0575,1774.5809405949997
1230.0575,2490.4946665119755
1230.0575,17198.953043381647
737.755,7037.508066932504
737.755,1497.7508809659437
737.755,1331.0071882693633
737.755,14030.75261749378
849.13,7902.831018208216
849.13,1732.5391635982
849.13,1548.1811513377245
849.13,7578.002090146836
942.3700000000001,15090.536813973004
942.3700000000001,1719.916142724286
942.3700000000001,2477.303689147594
942.3700000000001,13895.12227120495
1671.66,13375.095241547482
1671.66,1584.4744006302928
1671.66,1558.85013200096
1671.66,9770.316584451257
1111.9375,16833.11370012551
1111.9375,2097.1330656788327
1111.9375,1906.5265106306451
1111.9375,12213.272534029771
1403.3600000000001,12698.4466577789
1403.3600000000001,1545.802552700719
1403.3600000000001,3051.8103791777867
1403.3600000000001,20168.4505310542
957.5374999999999,5608.495714809587
957.5374999999999,1360.552512018951
957.5374999999999,1358.608483315936
957.5374999999999,7914.979120338
1000.57,8556.27096592651
1000.57,1435.3392764272126
1000.57,1358.8427235852268
1000.57,6307.8422091529865
1058.5974999999999,14895.590913700076
1058.5974999999999,1820.6016272776656
1058.5974999999999,2213.819113844596
1058.5974999999999,40346.377959987854
1775.3525,13278.79617884679
1775.3525,1676.8256263226915
1775.3525,1307.0356139456824
1775.3525,18237.877332944798
1362.79,16443.366470673176
1362.79,1880.7533464039504
1362.79,2155.620617012
1362.79,19969.75368070264
1181.795,37797.35650636242
1181.795,1573.2408189431612
1181.795,3025.9358379146256
1181.795,18930.912939756778
686.6600000000001,7671.3808716070225
686.6600000000001,2567.800673286475
686.6600000000001,1368.0573277080066
686.6600000000001,8089.450843148654
761.375,10676.759537412883
761.375,1293.9607438251232
761.375,1373.359763408146
761.375,3528.195195289044
1185.3075,14773.96444347142
1185.3075,1820.78120445558
1185.3075,2191.704756211577
1185.3075,12119.253816565211
2138.6600000000003,10165.748268911875
2138.6600000000003,1623.106340484583
2138.6600000000003,1298.376311990194
2138.6600000000003,5861.397261222929
1225.9125,14870.596837954336
1225.9125,1912.9003298653472
1225.9125,2165.242738519082
1225.9125,6677.872894777218
1481.2575,40107.52795497757
1481.2575,1553.7525555762477
1481.2575,2998.1177214376166
1481.2575,18145.38251367329
1079.6875,7568.511226845784
1079.6875,2856.62932647458
1079.6875,1758.9031975576538
1079.6875,8100.750185033751
1336.75,10298.592003253834
1336.75,1395.947013440604
1336.75,1684.9125433804122
1336.75,3793.750058701263
989.7475,14754.297081876051
989.7475,1813.19539781922
989.7475,3050.274072123378
989.7475,12059.029986446389
1668.89,10160.720926804912
1668.89,1809.3904566462836
1668.89,3775.739109888969
1668.89,5457.836877383941
1215.67,14868.78598213418
1215.67,1914.3165469567284
1215.67,3049.5068238350223
1215.67,6640.24989671062
840.9899999999999,10017.793349266183
840.9899999999999,1493.0273430134946
840.9899999999999,2007.235299279777
840.9899999999999,12152.327364672776
754.6275,5956.29665922929
754.6275,1708.5478351876177
754.6275,1579.7731500949783
754.6275,8485.06648337139
767.0425,7340.715360162057
767.0425,1555.6814145062383
767.0425,1805.5251715170864
767.0425,11045.470171683764
1024.6075,15343.98064162433
1024.6075,1679.488999390631
1024.6075,1882.72009395656
1024.6075,12806.831209481335
1543.68,11939.71624179605
1543.68,1685.2752371696174
1543.68,1939.5732136802435
1543.68,9136.48761337929
969.4575,14580.318629967836
969.4575,2011.4964155061225
969.4575,2039.142892589217
969.4575,10267.630695304802
985.0225,7963.055952298295
985.0225,2177.843013393526
985.0225,2791.2728901260057
985.0225,11216.48824388674
