Region,Crop,Year,Yield_kg_per_ha,seq_months,temp_m1,rain_m1,hum_m1,temp_m2,rain_m2,hum_m2,temp_m3,rain_m3,hum_m3,temp_m4,rain_m4,hum_m4,temp_m5,rain_m5,hum_m5,temp_m6,rain_m6,hum_m6,temp_m7,rain_m7,hum_m7,temp_m8,rain_m8,hum_m8,temp_m9,rain_m9,hum_m9,temp_m10,rain_m10,hum_m10,temp_m11,rain_m11,hum_m11,temp_m12,rain_m12,hum_m12
South East,Cassava,2020,8850.640189442252,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",25.90216666666667,0.4,63.660000000000004,25.90216666666667,6.9,67.17999999999999,25.90216666666667,588.1,82.24,25.90216666666667,604.2,84.88000000000001,25.90216666666667,835.2,87.58,25.90216666666667,1254.3,89.0,25.90216666666667,1666.1,90.12,25.90216666666667,683.4,87.16,25.90216666666667,2695.7,89.7,25.90216666666667,767.3,88.34,25.90216666666667,501.2,80.08,25.90216666666667,75.3,81.12
South East,Cassava,2021,9166.325966656479,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",26.004,105.9,75.92,26.004,31.9,73.36,26.004,309.9,82.08,26.004,842.4,85.03999999999999,26.004,937.3,87.1,26.004,1181.3000000000002,87.94,26.004,868.1,88.74,26.004,1586.7,89.86,26.004,953.6,89.53999999999999,26.004,1120.6,89.25999999999999,26.004,747.8,85.76,26.004,80.5,69.84
South East,Cassava,2022,5681.65073923557,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",25.790333333333333,310.20000000000005,66.66,25.790333333333333,9.9,63.9,25.790333333333333,239.0,81.7,25.790333333333333,666.0,83.52000000000001,25.790333333333333,655.2,87.0,25.790333333333333,862.7,89.08,25.790333333333333,868.0,88.44,25.790333333333333,1152.4,88.25999999999999,25.790333333333333,1458.1,89.24,25.790333333333333,673.6,86.46000000000001,25.790333333333333,184.4,77.42,25.790333333333333,74.4,69.94
South East,Cassava,2023,5717.333081524193,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",26.349333333333334,25.2,68.82000000000001,26.349333333333334,85.8,68.88,26.349333333333334,450.09999999999997,82.42,26.349333333333334,336.6,83.3,26.349333333333334,399.5,84.26,26.349333333333334,1450.3,89.36,26.349333333333334,1214.0,89.28,26.349333333333334,475.8,88.5,26.349333333333334,1148.6,89.2,26.349333333333334,799.7,89.0,26.349333333333334,384.4,86.67999999999999,26.349333333333334,6.1,67.9
South East,Yams,2000,11992.417735390813,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",25.110500000000002,5.7,74.82000000000001,25.110500000000002,4.1,63.67999999999999,25.110500000000002,156.6,75.82000000000001,25.110500000000002,344.8,83.44,25.110500000000002,1337.6000000000001,85.08,25.110500000000002,4173.6,90.91999999999999,25.110500000000002,3243.9,91.8,25.110500000000002,888.6,91.2,25.110500000000002,1359.4,91.64,25.110500000000002,3259.5,90.4,25.110500000000002,1065.1,84.7,25.110500000000002,87.0,77.22
South East,Yams,2001,12150.23940207871,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",25.050166666666666,9.9,65.34,25.050166666666666,80.3,69.3,25.050166666666666,189.7,85.14,25.050166666666666,1439.7,87.76,25.050166666666666,1063.6,88.97999999999999,25.050166666666666,1706.0,90.5,25.050166666666666,772.5,90.06,25.050166666666666,807.5,89.42,25.050166666666666,1654.2,90.3,25.050166666666666,832.4,88.42,25.050166666666666,398.0,85.64000000000001,25.050166666666666,63.2,76.62
South East,Yams,2002,12256.043229570865,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",25.228833333333334,4.9,63.48,25.228833333333334,16.2,71.02000000000001,25.228833333333334,468.7,84.34,25.228833333333334,1844.0,87.8,25.228833333333334,870.1999999999999,88.1,25.228833333333334,796.7,90.1,25.228833333333334,2253.2,91.52000000000001,25.228833333333334,932.4000000000001,90.62,25.228833333333334,588.8,90.44,25.228833333333334,1031.9,88.8,25.228833333333334,163.8,83.3,25.228833333333334,12.100000000000001,73.9
South East,Yams,2003,12379.368658399098,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",25.574166666666667,204.2,73.32000000000001,25.574166666666667,653.2,80.22,25.574166666666667,132.1,83.82000000000001,25.574166666666667,1036.4,87.36,25.574166666666667,1212.4,89.53999999999999,25.574166666666667,605.1,89.86,25.574166666666667,815.6,89.66,25.574166666666667,530.6999999999999,88.97999999999999,25.574166666666667,1434.0,89.88,25.574166666666667,1541.7,90.54,25.574166666666667,260.0,86.86,25.574166666666667,32.7,73.78
South East,Yams,2004,11971.081487852074,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",25.532333333333334,198.9,75.82000000000001,25.532333333333334,45.5,74.94,25.532333333333334,64.9,80.78,25.532333333333334,908.0,88.02000000000001,25.532333333333334,1249.5,89.24,25.532333333333334,1051.6,90.02000000000001,25.532333333333334,659.2,90.67999999999999,25.532333333333334,798.1,89.88000000000001,25.532333333333334,1268.6,90.36,25.532333333333334,592.3,90.17999999999999,25.532333333333334,384.5,87.14,25.532333333333334,4.6000000000000005,79.2
South East,Yams,2005,12389.592160328559,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",25.761000000000003,18.0,69.76,25.761000000000003,101.4,82.78,25.761000000000003,382.2,86.08,25.761000000000003,369.5,87.4,25.761000000000003,320.20000000000005,87.97999999999999,25.761000000000003,686.5,88.88,25.761000000000003,473.4,87.72,25.761000000000003,951.6,85.7,25.761000000000003,2107.8,89.22,25.761000000000003,938.1,89.62,25.761000000000003,216.0,83.66,25.761000000000003,9.0,80.44
