Region,Crop,Year,Month,Temperature_C,Rainfall_mm,Humidity_percent,CO2_MtCO2,Soil_Moisture_Annual_Mean,Soil_Moisture_GrowSeason,Soil_Moisture_DrySeason,Yield_kg_per_ha,Soil_Moisture_m3m3,GDD,Cumulative_Rainfall,Days_Into_Season,SoilMoisture_Temp_Interaction,SoilMoisture_Rainfall_Interaction,Is_Rainy_Season,Is_Peak_Growing,Heat_Stress,Cold_Stress,Rainfall_Anomaly,Drought_Risk,Flood_Risk,Soil_Moisture_Anomaly,Yield_Lag_1,Yield_Lag_2,Yield_Lag_3,Yield_MA_3yr,Temp_MA_3yr,Rain_MA_3yr,Soil_MA_3yr,Yield_YoY_Change,Temp_YoY_Change,Rain_YoY_Change,Yield_Volatility_3yr
North West,Yams,2001,7,24.458452380952384,576.9791666666666,45.44642857142857,100.218,0.16386082169905722,0.21766653518928444,0.11005510820883002,1765.2635570724308,0.2575419668508287,433.7535714285715,2485.1529407031658,90,6.299077932317811,148.59634941528543,1,1,0,0,-0.27026368319191896,0,0,0.3894461502953202,10113.186813186812,0.0,0.0,10352.384077810699,26.080595238095242,5772.05,0.16058242535341025,478.3945292477729,-0.24428571428571644,-466.10000000000036,338.27601571364636
North West,Yams,2001,8,23.360376169599068,661.4547796484168,45.44642857142857,100.218,0.16386082169905722,0.21766653518928444,0.11005510820883002,1765.2635570724308,0.2826844424242424,400.811285087972,3146.607720351583,120,6.603614912323672,186.98297557376281,1,0,0,0,-0.2702636831931827,0,0,-0.21528598848877298,10113.186813186812,0.0,0.0,10352.384077810699,26.080595238095242,5772.05,0.16058242535341025,478.3945292477729,-0.24428571428571644,-466.10000000000036,338.27601571364636
North West,Yams,2001,9,22.958452380952384,692.375,45.44642857142857,100.218,0.16386082169905722,0.21766653518928444,0.11005510820883002,1765.2635570724308,0.2735162298850574,388.7535714285715,3838.982720351583,150,6.279509339233716,189.37579966666664,1,0,0,0,-0.2702636831935674,0,0,0.3566944938139706,10113.186813186812,0.0,0.0,10352.384077810699,26.080595238095242,5772.05,0.16058242535341025,478.3945292477729,-0.24428571428571644,-466.10000000000036,338.27601571364636
North West,Yams,2001,10,23.360376169599068,661.4547796484169,45.44642857142857,100.218,0.16386082169905722,0.21766653518928444,0.11005510820883002,0.0,0.1945564254143646,0.0,4500.4375,180,4.544911283892101,128.69027750164219,0,0,0,0,-0.2702636831931824,0,0,-0.32794124818851444,10113.186813186812,0.0,0.0,10352.384077810699,26.080595238095242,5772.05,0.16058242535341025,478.3945292477729,-0.24428571428571644,-466.10000000000036,338.27601571364636
North West,Yams,2001,11,24.458452380952384,576.9791666666666,45.44642857142857,100.218,0.16386082169905722,0.21766653518928444,0.11005510820883002,0.0,0.1290467388888889,0.0,5077.416666666666,210,3.1562835180310853,74.45727986516204,0,0,0,0,-0.27026368319191896,0,0,-0.01643231854360892,10113.186813186812,0.0,0.0,10352.384077810699,26.080595238095242,5772.05,0.16058242535341025,478.3945292477729,-0.24428571428571644,-466.10000000000036,338.27601571364636
North West,Yams,2001,12,25.958452380952384,461.5833333333333,45.44642857142857,100.218,0.16386082169905722,0.21766653518928444,0.11005510820883002,0.0,0.1003515762711864,0.0,5539.0,240,2.6049716139891035,46.32061508050845,0,0,0,0,-0.27026368318944616,0,0,0.3353585624616071,10113.186813186812,0.0,0.0,10352.384077810699,26.080595238095242,5772.05,0.16058242535341025,478.3945292477729,-0.24428571428571644,-466.10000000000036,338.27601571364636
North West,Yams,2002,1,27.926785714285714,348.76875,46.304761904761904,89.906,0.15976180193811104,0.19980698601484584,0.11971661786137622,0.0,0.0814549012345679,0.0,348.76875,0,2.274773572156085,28.408924084953703,0,0,0,0,-0.2545188722172337,0,0,-1.0414653829029892,10591.581342434585,10113.186813186812,0.0,10278.92711898051,26.195992063492067,5708.133333333334,0.16030888421497716,-459.5681411144524,0.46833333333333016,41.30000000000018,270.9300754905029
North West,Yams,2002,2,29.02486192563903,263.6632683025707,46.304761904761904,89.906,0.15976180193811104,0.19980698601484584,0.11971661786137622,0.0,0.078342015625,0.0,612.4320183025707,0,2.2738661864918805,20.65591188509856,0,0,0,0,-0.2545188722122228,0,0,-0.7835906760967337,10591.581342434585,10113.186813186812,0.0,10278.92711898051,26.195992063492067,5708.133333333334,0.16030888421497716,-459.5681411144524,0.46833333333333016,41.30000000000018,270.9300754905029
North West,Yams,2002,3,29.426785714285714,232.51250000000002,46.304761904761904,89.906,0.15976180193811104,0.19980698601484584,0.11971661786137622,0.0,0.0804039885057471,0.0,844.9445183025707,0,2.3660309403325117,18.694932377442527,0,0,0,0,-0.25451887220947117,0,0,0.1600286727211445,10591.581342434585,10113.186813186812,0.0,10278.92711898051,26.195992063492067,5708.133333333334,0.16030888421497716,-459.5681411144524,0.46833333333333016,41.30000000000018,270.9300754905029
North West,Yams,2002,4,29.02486192563903,263.6632683025707,46.304761904761904,89.906,0.15976180193811104,0.19980698601484584,0.11971661786137622,1688.6688668866889,0.0988190786516853,570.7458577691709,1108.6077866051414,0,2.868210113484029,26.054961247952136,1,0,0,0,-0.25451887221222275,0,0,0.3235285892483363,10591.581342434585,10113.186813186812,0.0,10278.92711898051,26.195992063492067,5708.133333333334,0.16030888421497716,-459.5681411144524,0.46833333333333016,41.30000000000018,270.9300754905029
